Angle [rad],Vrms [V],Vavg [V],Vrms [%],Vmeas [V],,In [%],Time [us],Time [ticks],Vmeas [V]
4.909E-01,118.686,101.541,98.79%,112.71,,,,,
4.940E-01,118.658,101.460,98.76%,112.62,,,,,
4.970E-01,118.631,101.379,98.74%,112.53,,,,,
5.001E-01,118.603,101.298,98.72%,112.44,,,,,
5.032E-01,118.574,101.216,98.69%,112.35,,,,,
5.062E-01,118.574,101.216,98.69%,112.35,,,,,
5.093E-01,118.546,101.134,98.67%,112.26,,,,,
5.124E-01,118.517,101.051,98.65%,112.17,,,,,
5.154E-01,118.487,100.967,98.62%,112.07,,,,,
5.185E-01,118.458,100.883,98.60%,111.98,,,,,
5.216E-01,118.428,100.799,98.57%,111.89,,,,,
5.246E-01,118.397,100.714,98.55%,111.79,,,,,
5.277E-01,118.367,100.629,98.52%,111.70,,,,,
5.308E-01,118.336,100.543,98.50%,111.60,,,,,
5.338E-01,118.304,100.457,98.47%,111.51,,,,,
5.369E-01,118.272,100.371,98.44%,111.41,,,,,
5.400E-01,118.240,100.284,98.42%,111.31,,,,,
5.430E-01,118.208,100.196,98.39%,111.22,,,,,
5.461E-01,118.175,100.108,98.36%,111.12,,,,,
5.492E-01,118.142,100.020,98.34%,111.02,,,,,
5.523E-01,118.109,99.931,98.31%,110.92,,,,,
5.553E-01,118.075,99.841,98.28%,110.82,,,,,
5.584E-01,118.041,99.752,98.25%,110.72,,,,,
5.615E-01,118.006,99.661,98.22%,110.62,,,,,
5.645E-01,117.971,99.571,98.19%,110.52,,,,,
5.676E-01,117.936,99.479,98.16%,110.42,,,,,
5.707E-01,117.901,99.388,98.13%,110.32,,,,,
5.737E-01,117.865,99.296,98.10%,110.22,,,,,
5.768E-01,117.828,99.203,98.07%,110.12,,,,,
5.799E-01,117.792,99.110,98.04%,110.01,,,,,
5.829E-01,117.755,99.017,98.01%,109.91,,,,,
5.860E-01,117.717,98.923,97.98%,109.80,,,,,
5.891E-01,117.679,98.829,97.95%,109.70,,,,,
5.921E-01,117.641,98.734,97.92%,109.59,,,,,
5.952E-01,117.603,98.639,97.89%,109.49,,,,,
5.983E-01,117.564,98.543,97.85%,109.38,,,,,
6.013E-01,117.524,98.447,97.82%,109.28,,,,,
6.044E-01,117.485,98.350,97.79%,109.17,,,,,
6.075E-01,117.445,98.253,97.75%,109.06,,,,,
6.105E-01,117.404,98.156,97.72%,108.95,,,,,
6.136E-01,117.364,98.058,97.69%,108.84,,,,,
6.167E-01,117.322,97.960,97.65%,108.74,,,,,
6.197E-01,117.281,97.861,97.62%,108.63,,,,,
6.228E-01,117.239,97.762,97.58%,108.52,,,,,
6.259E-01,117.197,97.662,97.55%,108.41,,,,,
6.290E-01,117.154,97.562,97.51%,108.29,,,,,
6.320E-01,117.154,97.562,97.51%,108.29,,,,,
6.351E-01,117.111,97.462,97.48%,108.18,,,,,
6.382E-01,117.068,97.361,97.44%,108.07,,,,,
6.412E-01,117.024,97.260,97.40%,107.96,,,,,
6.443E-01,116.979,97.158,97.37%,107.85,,,,,
6.474E-01,116.935,97.056,97.33%,107.73,,,,,
6.504E-01,116.890,96.953,97.29%,107.62,,,,,
6.535E-01,116.844,96.850,97.26%,107.50,,,,,
6.566E-01,116.799,96.747,97.22%,107.39,,,,,
6.596E-01,116.752,96.643,97.18%,107.27,,,,,
6.627E-01,116.706,96.539,97.14%,107.16,,,,,
6.658E-01,116.659,96.434,97.10%,107.04,,,,,
6.688E-01,116.612,96.329,97.06%,106.93,,,,,
6.719E-01,116.564,96.223,97.02%,106.81,,,,,
6.750E-01,116.516,96.117,96.98%,106.69,,,,,
6.780E-01,116.467,96.011,96.94%,106.57,,,,,
6.811E-01,116.418,95.904,96.90%,106.45,,,,,
6.842E-01,116.369,95.797,96.86%,106.33,,,,,
6.872E-01,116.319,95.689,96.82%,106.22,,,,,
6.903E-01,116.269,95.581,96.78%,106.10,,,,,
6.934E-01,116.218,95.473,96.73%,105.97,,,,,
6.965E-01,116.167,95.364,96.69%,105.85,,,,,
6.995E-01,116.116,95.255,96.65%,105.73,,,,,
7.026E-01,116.064,95.145,96.61%,105.61,,,,,
7.057E-01,116.012,95.035,96.56%,105.49,,,,,
7.087E-01,115.959,94.925,96.52%,105.37,,,,,
7.118E-01,115.906,94.814,96.47%,105.24,,,,,
7.149E-01,115.853,94.702,96.43%,105.12,,,,,
7.179E-01,115.799,94.591,96.38%,105.00,,,,,
7.210E-01,115.744,94.479,96.34%,104.87,,,,,
7.241E-01,115.690,94.366,96.29%,104.75,,,,,
7.271E-01,115.635,94.253,96.25%,104.62,,,,,
7.302E-01,115.579,94.140,96.20%,104.50,,,,,
7.333E-01,115.523,94.026,96.16%,104.37,,,,,
7.363E-01,115.467,93.912,96.11%,104.24,,,,,
7.394E-01,115.410,93.797,96.06%,104.12,,,,,
7.425E-01,115.353,93.683,96.01%,103.99,,,,,
